pitcher,stuff_plus
Spencer Strider,132
Zack Wheeler,109
Pablo López,104
Gerrit Cole,120
Sandy Alcantara,115
George Kirby,106
Justin Verlander,120
Zac Gallen,103
Logan Webb,116
Kevin Gausman,103
Kyle Bradish,116
Zach Eflin,100
Aaron Nola,98
Luis Castillo,103
Corbin Burnes,121
Logan Gilbert,116
Justin Steele,105
Miles Mikolas,94
Mitch Keller,102
Sonny Gray,107
Merrill Kelly,97
Freddy Peralta,104
Dylan Cease,114
Yusei Kikuchi,107
Jesús Luzardo,104
José Berríos,94
Blake Snell,111
Lucas Giolito,95
Dean Kremer,96
Lance Lynn,86
Framber Valdez,112
Cristian Javier,99
Jordan Montgomery,101
Bryce Elder,100
Taijuan Walker,102
Chris Bassitt,93
Kyle Gibson,96
Kodai Senga,100
Charlie Morton,99
JP Sears,89
Jordan Lyles,85
Dane Dunning,82
Johan Oviedo,94
Patrick Corbin,78
